X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
2.919485270977020264e-01;2.467139959335327148e+00;-1.029886119067668915e-02;2.484375000000000000e+00;4.404000000000000000e+03;7.300000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.682415573319844608e+18
2.739267051219940186e-01;2.461345195770263672e+00;-1.031278073787689209e-02;2.476562500000000000e+00;4.455000000000000000e+03;7.400000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319850752e+18
2.575972676277160645e-01;2.470962285995483398e+00;-1.039182674139738083e-02;2.484375000000000000e+00;4.417000000000000000e+03;7.500000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319856896e+18
2.385879755020141602e-01;2.457172155380249023e+00;-1.037347782403230667e-02;2.468750000000000000e+00;4.442000000000000000e+03;7.600000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.682415573319863040e+18
2.228786200284957886e-01;2.474335193634033203e+00;-1.048702839761972427e-02;2.484375000000000000e+00;4.404000000000000000e+03;7.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319869184e+18
2.050238698720932007e-01;2.468039035797119141e+00;-1.050374004989862442e-02;2.476562500000000000e+00;4.455000000000000000e+03;7.800000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319875072e+18
1.872448623180389404e-01;2.461616277694702148e+00;-1.052020117640495300e-02;2.468750000000000000e+00;4.455000000000000000e+03;7.900000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319881216e+18
1.701035648584365845e-01;2.462859869003295898e+00;-1.056979876011610031e-02;2.468750000000000000e+00;4.391000000000000000e+03;8.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.682415573319887360e+18
1.521767228841781616e-01;2.456205129623413086e+00;-1.058663800358772278e-02;2.460937500000000000e+00;4.430000000000000000e+03;8.100000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319893504e+18
1.355156898498535156e-01;2.465004682540893555e+00;-1.067012175917625427e-02;2.468750000000000000e+00;4.417000000000000000e+03;8.200000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319899392e+18
1.180009618401527405e-01;2.458083629608154297e+00;-1.068791747093200684e-02;2.460937500000000000e+00;4.417000000000000000e+03;8.300000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319905536e+18
1.008866950869560242e-01;2.458845376968383789e+00;-1.073954626917839050e-02;2.460937500000000000e+00;4.455000000000000000e+03;8.400000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319911680e+18
8.350163698196411133e-02;2.451679944992065430e+00;-1.075691916048526764e-02;2.453125000000000000e+00;4.442000000000000000e+03;8.500000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319917568e+18
6.613887101411819458e-02;2.452209472656250000e+00;-1.080926973372697830e-02;2.453125000000000000e+00;4.455000000000000000e+03;8.600000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319923712e+18
4.906677082180976868e-02;2.452610254287719727e+00;-1.086073555052280426e-02;2.453125000000000000e+00;4.455000000000000000e+03;8.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319929856e+18
3.199814260005950928e-02;2.452892065048217773e+00;-1.091261673718690872e-02;2.453125000000000000e+00;4.430000000000000000e+03;8.800000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319935744e+18
1.492528244853019714e-02;2.453054904937744141e+00;-1.096457522362470627e-02;2.453125000000000000e+00;4.430000000000000000e+03;8.900000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319941888e+18
-2.148296451196074486e-03;2.453099250793457031e+00;-1.101653464138507843e-02;2.453125000000000000e+00;4.430000000000000000e+03;9.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.682415573319947776e+18
-1.922176778316497803e-02;2.453024625778198242e+00;-1.106849312782287598e-02;2.453125000000000000e+00;4.455000000000000000e+03;9.100000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319953920e+18
-3.647212684154510498e-02;2.445015430450439453e+00;-1.108593028038740158e-02;2.445312500000000000e+00;4.481000000000000000e+03;9.200000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319960064e+18
-5.349472537636756897e-02;2.444702148437500000e+00;-1.113715488463640213e-02;2.445312500000000000e+00;4.455000000000000000e+03;9.300000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.682415573319966208e+18
-7.029984891414642334e-02;2.436460494995117188e+00;-1.115223392844200134e-02;2.437500000000000000e+00;4.442000000000000000e+03;9.400000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319972096e+18
-8.725002408027648926e-02;2.435912132263183594e+00;-1.120282523334026337e-02;2.437500000000000000e+00;4.442000000000000000e+03;9.500000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.682415573319978240e+18
-1.045299172401428223e-01;2.443051338195800781e+00;-1.128948759287595749e-02;2.445312500000000000e+00;4.468000000000000000e+03;9.600000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319984128e+18
